,Genome ID,Organism code,Organism name,Assembly
0,T00007,eco,Escherichia coli K-12 MG1655,GCF_000005845.2
1,T00068,ecj,Escherichia coli K-12 W3110,GCA_000010245.1
2,T00666,ecd,Escherichia coli K-12 DH10B,GCA_000019425.1
3,T00913,ebw,Escherichia coli K-12 BW2952,GCA_000022345.1
4,T02541,ecok,Escherichia coli K-12 MDS42,GCA_000350185.1
5,T00044,ece,Escherichia coli O157:H7 EDL933 (EHEC),GCA_000006665.1
6,T00048,ecs,Escherichia coli O157:H7 Sakai (EHEC),GCF_000008865.2
7,T00778,ecf,Escherichia coli O157:H7 EC4115 (EHEC),GCA_000021125.1
8,T00949,etw,Escherichia coli O157:H7 TW14359 (EHEC),GCA_000022225.1
9,T02122,elx,Escherichia coli O157:H7 Xuzhou21 (EHEC),GCA_000262125.1
10,T01097,eoi,Escherichia coli O111:H- 11128 (EHEC),GCA_000010765.1
11,T01098,eoj,Escherichia coli O26:H11 11368 (EHEC),GCA_000091005.1
12,T01096,eoh,Escherichia coli O103:H2 12009 (EHEC),GCA_000010745.1
13,T03010,ecoo,Escherichia coli O145:H28 RM13514 (EHEC),GCA_000520035.1
14,T03011,ecoh,Escherichia coli O145:H28 RM13516 (EHEC),GCA_000520055.1
15,T02257,esl,Escherichia coli O104:H4 2011C-3493 (EAEC),GCA_000299455.1
16,T02256,eso,Escherichia coli O104:H4 2009EL-2071 (EAEC),GCA_000299475.1
17,T02316,esm,Escherichia coli O104:H4 2009EL-2050 (EAEC),GCA_000299255.1
18,T00826,eck,Escherichia coli 55989 (EAEC),GCA_000026245.1
19,T00796,ecg,Escherichia coli O127:H6 E2348/69 (EPEC),GCA_000026545.1
20,T01190,eok,Escherichia coli O55:H7 CB9615 (EPEC),GCA_000025165.1
21,T02066,elr,Escherichia coli O55:H7 RM12579 (EPEC),GCA_000245515.1
22,T02069,elh,Escherichia coli O78:H11:K80 H10407 (ETEC),GCA_000210475.1
